// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

// Crusader quest monsters with poring stats (No drops)
1902,MC_CAMERI,MC Cameri,MC Cameri,99,668000,0,107250,37895,2,3220,4040,35,45,1,152,96,85,120,95,10,10,2,6,67,1973,100,1068,768,576,13000,5000,608,1000,750,400,923,3800,1466,200,2256,200,2607,800,714,500,617,3000,984,4300,985,5600,0,0,0,0,4147,1
1903,POKI,Poki#3,Poki#3,99,1349000,0,4093000,1526000,9,4892,9113,22,35,1,180,39,67,193,130,10,12,1,7,64,1973,120,500,672,480,92100,7000,603,5500,617,3000,1723,1000,1228,100,1236,500,617,2500,1234,75,1237,125,1722,250,1724,100,1720,50,0,0,0,0
1904,SENTRY,Sentry,Sentry,99,668000,0,107250,37895,2,3220,4040,35,45,1,152,96,85,120,95,10,10,2,6,67,1973,100,1068,768,576,13000,5000,608,1000,750,400,923,3800,1466,200,2256,200,2607,800,714,500,617,3000,984,4300,985,5600,0,0,0,0,4147,1

// Mobs used for eAthena's Custom Equipped Mobs
1970,PORING_,Pet Poring,Pet Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,0,0,0,0,0,0,0,0,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20
1971,CHONCHON__,Pet Chonchon,Pet Chonchon,4,67,0,5,4,1,10,13,10,0,1,10,4,5,12,2,10,12,0,4,24,129,200,1076,576,480,0,0,0,0,0,0,0,0,998,50,935,6500,909,1500,1205,55,601,100,742,5,1002,150,0,0,0,0,4009,5
1972,SPORE_,Pet Spore,Pet Spore,9,327,0,22,17,1,24,29,0,5,1,9,9,1,14,5,10,12,1,3,21,129,200,1872,672,288,0,0,0,0,0,0,0,0,921,5000,507,800,510,50,743,5,2220,40,921,5,578,100,0,0,0,0,4022,5
1973,PECOPECO_,Pet Peco Peco,Pet Peco Peco,13,531,0,85,36,1,35,46,0,0,1,13,13,25,27,9,10,12,2,2,23,649,200,1564,864,576,0,0,0,0,0,0,0,0,925,5500,2402,20,508,50,507,900,1604,100,582,60,0,0,0,0,0,0,4031,3
1974,ORK_WARRIOR_,Pet Orc Warrior,Pet Orc Warrior,24,1400,0,261,160,1,104,126,10,5,1,24,48,25,34,10,10,12,1,7,22,2693,200,1864,864,288,0,0,0,0,0,0,0,0,998,210,931,5500,756,40,2267,3,1352,10,1304,5,1301,100,0,0,0,0,4066,1
1975,MUNAK_,Pet Munak,Pet Munak,30,2872,0,361,218,1,180,230,0,0,1,15,20,5,46,15,10,12,1,1,29,2693,200,2468,768,288,0,0,0,0,0,0,0,0,901,5500,2264,1,2404,15,609,20,2337,1,2305,100,1558,5,0,0,0,0,4090,3
1976,ISIS_,Pet Isis,Pet Isis,43,4828,0,2396,993,1,423,507,10,35,1,65,43,30,72,15,10,12,2,6,27,661,200,1384,768,336,0,0,0,0,0,0,0,0,936,5500,2233,5,2603,1,733,150,732,20,954,1000,731,5,0,0,0,0,4116,1
1977,POPORING_,Pet Poporing,Pet Poporing,14,344,0,81,44,1,59,72,0,10,1,14,14,1,19,15,10,12,1,3,25,131,300,1672,672,480,0,0,0,0,0,0,0,0,938,5500,910,1500,511,500,514,200,729,5,0,0,0,0,0,0,0,0,4033,5
1978,HUNTER_FLY_,Pet Hunter Fly,Pet Hunter Fly,42,5242,0,1517,952,1,246,333,25,15,1,105,32,15,72,30,10,12,0,4,44,2693,150,676,576,480,0,0,0,0,0,0,0,0,996,30,999,100,943,5500,912,1300,756,129,2259,1,1226,2,0,0,0,0,4115,1
1979,STEEL_CHONCHON_,Pet Steel Chonchon,Pet Steel Chonchon,17,530,0,109,71,1,54,65,15,0,1,43,17,5,33,10,10,12,0,4,24,651,150,1076,576,480,0,0,0,0,0,0,0,0,992,70,999,30,910,2400,935,3500,943,30,998,200,1002,500,0,0,0,0,4042,1
1980,PICKY__,Pet Picky,Pet Picky,3,80,0,4,3,1,9,12,0,0,1,3,3,5,10,30,10,12,0,2,23,129,200,988,288,168,0,0,0,0,0,0,0,0,916,6500,949,700,2302,150,507,550,519,300,715,50,0,0,0,0,0,0,4008,10
1981,ROCKER_,Pet Rocker,Pet Rocker,9,198,0,20,16,1,24,29,5,10,1,9,18,10,14,15,10,12,1,4,22,129,200,1864,864,540,0,0,0,0,0,0,0,0,940,5000,909,5500,2298,4,1402,80,520,10,752,5,703,3,0,0,0,0,4021,10
1982,SMOKIE_,Pet Smokie,Pet Smokie,18,641,0,134,86,1,61,72,0,10,1,18,36,25,26,35,10,12,0,2,22,145,200,1576,576,420,0,0,0,0,0,0,0,0,945,5500,919,5500,516,800,2213,2,754,2,912,6,729,3,0,0,0,0,4044,1
1983,YOYO_,Pet Yoyo,Pet Yoyo,19,879,0,148,93,1,71,82,0,0,1,24,30,35,32,55,10,12,0,2,22,651,200,1054,54,384,0,0,0,0,0,0,0,0,942,5500,513,1500,508,100,919,5000,753,5,756,24,578,200,0,0,0,0,4051,1
1984,LUNATIC_,Pet Lunatic,Pet Lunatic,3,60,0,6,2,1,9,12,0,20,1,3,3,10,8,60,10,12,0,2,60,129,200,1456,456,336,0,0,0,0,0,0,0,0,705,6500,949,1000,2262,4,1102,100,512,600,515,1100,622,20,0,0,0,0,4006,15
1985,POISON_SPORE_,Pet Poison Spore,Pet Poison Spore,19,665,0,186,93,1,89,101,0,0,1,19,25,1,24,1,10,12,1,3,25,2693,200,1672,672,288,0,0,0,0,0,0,0,0,7033,5500,2221,20,511,550,510,50,972,30,921,1200,912,6,0,0,0,0,4048,2
1986,BAPHOMET__,Pet Baphomet Jr.,Pet Baphomet Jr.,50,8578,0,2706,1480,1,487,590,15,25,1,75,55,1,93,45,10,12,0,6,27,1685,100,868,480,120,0,0,0,0,0,0,0,0,923,500,984,63,1464,2,607,50,610,100,503,300,2405,50,0,0,0,0,4129,1
1987,DESERT_WOLF_B_,Pet Baby Desert Wolf,Pet Baby Desert Wolf,9,164,0,20,16,1,30,36,0,0,1,9,9,5,21,40,10,12,0,2,23,649,300,1600,900,240,0,0,0,0,0,0,0,0,1010,85,919,5500,2306,60,517,600,2301,200,0,0,0,0,0,0,0,0,4023,10
1988,DEVIRUCHI_,Pet Deviruchi,Pet Deviruchi,46,7360,0,2662,1278,1,475,560,10,25,1,69,40,55,87,30,10,12,0,6,27,1685,150,980,600,384,0,0,0,0,0,0,0,0,1038,5500,1039,400,0,0,1458,2,1009,5,912,1500,756,154,0,0,0,0,4122,1
1989,DOKEBI__,Pet Dokebi,Pet Dokebi,33,2697,0,889,455,1,197,249,0,10,1,50,40,35,69,40,10,12,0,6,27,145,250,1156,456,384,0,0,0,0,0,0,0,0,1021,5500,757,112,1517,2,1613,1,969,1,1501,300,1005,5,0,0,0,0,4098,1
1990,DROPS_,Pet Drops,Pet Drops,3,55,0,4,3,1,10,13,0,0,1,3,3,1,12,15,10,12,1,3,23,131,400,1452,672,480,0,0,0,0,0,0,0,0,909,7500,1602,80,938,500,512,1100,713,1700,741,5,620,20,0,0,0,0,4004,10
1991,PETIT__,Pet Earth Petite,Pet Earth Petite,44,6881,0,1677,1034,1,360,427,30,30,1,44,62,69,79,60,10,12,1,9,22,661,200,1624,620,384,0,0,0,0,0,0,0,0,1035,5500,1037,300,756,140,509,1000,1510,150,912,1500,606,15,0,0,0,0,4118,1
1992,SAVAGE_BABE_,Pet Savage Babe,Pet Savage Babe,7,182,0,14,12,1,20,25,0,0,1,7,14,5,12,35,10,12,0,2,22,129,400,1624,624,576,0,0,0,0,0,0,0,0,919,5500,1302,100,517,500,1750,1000,949,850,1010,80,627,20,0,0,0,0,4017,1
1993,SOHEE_,Pet Sohee,Pet Sohee,33,5628,0,739,455,1,210,251,0,10,1,33,33,10,58,15,10,12,1,6,21,145,300,2112,912,576,0,0,0,0,0,0,0,0,1020,5500,1049,50,2277,1,2504,5,1217,5,501,1000,662,100,0,0,0,0,4100,1
1994,BON_GUN_,Pet Bon Gun,Pet Bon Gun,32,3520,0,424,242,1,220,260,0,0,1,15,36,10,48,15,10,12,1,1,29,661,200,1720,500,420,0,0,0,0,0,0,0,0,1094,5500,7014,40,618,60,2337,2,609,15,508,1000,502,250,5046,1,0,0,4212,1

//Custom Fire Poring. Warning, Colides with META_DENIRO
//1239,FIRE_PORING,Fire Poring,Fire Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,0,0,0,0,0,0,0,0,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20

//Lunar New Year 2008 Event Monster overrides
//Uncomment if event is enabled, as these drops modifications are nessecary.
//1145,MARTIN,Martin,Martin,18,1109,0,134,86,1,52,63,0,5,12,18,30,15,15,5,10,12,0,2,42,0x81,300,1480,480,480,0,0,0,0,0,0,0,0,1017,9000,1018,500,1251,10,2225,5,5009,1,10010,10,2224,15,7869,1500,0,0,4046,1
//1175,TAROU,Tarou,Tarou,11,284,0,57,28,1,34,45,0,0,1,20,11,10,24,5,10,12,0,2,27,0x91,150,1744,1044,684,0,0,0,0,0,0,0,0,1016,9000,919,3000,949,800,528,1000,701,2,7869,2500,0,0,0,0,0,0,4028,1
//1209,CRAMP,Cramp,Cramp,56,4720,0,2300,1513,1,395,465,0,5,1,85,35,5,65,60,10,12,0,2,45,0x3095,100,1000,500,1000,0,0,0,0,0,0,0,0,7007,4656,528,1000,726,80,746,110,568,250,510,70,984,95,7869,1500,0,0,4296,1

//St. Patricks 2008 Eent Monster overrides
//Uncomment if event is enabled, as these drops modifications are nessecary.
//1841,G_SNAKE_,Snake Lord's Minon,Snake Lord's Minon,15,471,0,72,48,1,46,55,0,0,1,15,15,10,35,5,10,12,1,2,22,0x81,200,1576,576,576,0,0,0,0,0,0,0,0,7915,1000,7916,100,7720,30,12715,7,0,0,0,0,0,0,0,0,0,0,0,0
//1842,G_ANACONDAQ_,Snake Lord's Minon,Snake Lord's Minon,23,1109,0,300,149,1,124,157,0,0,1,23,28,10,36,5,10,12,1,2,25,0x91,200,1576,576,576,0,0,0,0,0,0,0,0,7915,1000,7916,100,7720,30,12715,7,0,0,0,0,0,0,0,0,0,0,0,0
//1843,SIDE_WINDER_,Snake Lord's Minon,Snake Lord's Minon,43,4929,0,1996,993,1,240,320,5,10,38,43,40,15,115,20,10,12,1,2,25,0x3095,200,1576,576,576,0,0,0,0,0,0,0,0,7915,1000,7916,100,7720,30,12715,7,0,0,0,0,0,0,0,0,0,0,0,0
//1844,G_ISIS_,Snake Lord's Minon,Snake Lord's Minon,47,7003,0,3709,1550,1,423,507,10,35,38,65,43,50,66,15,10,12,2,6,27,0x3195,200,1384,768,336,0,0,0,0,0,0,0,0,7915,1000,7916,100,7720,30,12715,8,0,0,0,0,0,0,0,0,0,0,0,0


// Custom Dungeon monsters
2601,HOLLOW_BLADE,Hollow Blade,Hollow Blade,112,61613,0,39710,7513,1,2025,7430,50,30,70,165,20,5,155,65,10,12,1,6,47,141,300,2500,780,420,0,0,0,0,,,,,985,106,2266,50,2315,50,1158,50,1116,100,1004,10,7054,5500,0,0,0,0,0,0
2603,HOLLOW_BOLT,Hollow Bolt,Hollow Bolt,109,35250,0,26025,7025,22,780,1750,35,5,15,25,140,10,163,85,10,12,1,6,47,141,350,1500,1152,480,0,0,0,0,,,,,7054,5500,0,0,2315,2,1701,150,1715,3,985,106,1764,5000,12006,1600,12007,500,0,0
2604,PINCER_LEECH,Pincer Leech,Pincer Leech,79,40300,0,8386,3020,2,778,1406,40,10,1,67,231,90,117,0,10,12,2,4,62,145,270,1100,1152,480,0,0,0,0,,,,,7053,2000,15000,3800,1042,3000,993,160,912,500,0,0,757,106,0,0,0,0,0,0
2605,FEEDER,Feeder,Feeder,73,9765,0,6932,1051,1,19,53,0,0,1,91,34,25,191,210,10,12,0,4,63,173,145,800,1188,612,0,0,0,0,,,,,992,60,1011,140,1013,5500,910,2100,757,25,943,800,15000,300,4348,1,0,0,0,0
2606,ROLLER_BEETLE,Roller Beetle,Roller Beetle,75,31954,0,11564,2487,1,445,845,45,10,1,83,91,72,127,0,10,12,0,4,42,133,190,1052,1152,384,0,0,0,0,,,,,7190,6000,7202,4000,928,3000,15000,600,756,160,0,0,0,0,0,0,0,0,0,0
2607,HYPNO_TOAD,Hypno Toad,Hypno Toad,79,72152,0,219,138,1,105,127,0,10,1,22,22,5,34,10,10,12,1,5,41,129,200,2016,816,288,0,0,0,0,,,,,1011,45,908,5500,911,600,509,30,725,5,918,2000,0,0,0,0,0,0,0,0
2608,DIEGO,Diego,Diego,111,137055,0,5891,3445,1,559,1352,19,27,70,70,70,70,70,70,10,12,0,0,60,181,500,572,672,480,7500,30,0,0,0,0,0,0,538,500,7053,2500,518,400,5113,1,7317,5000,0,0,0,0,0,0,0,0,0,0
2609,ATOMIC,Atomic,Atomic,150,50000,0,40000,5000,1,1,1,0,0,1,0,0,30,999,100,10,12,0,3,61,0,800,1201,1,1,0,0,0,0,,,,,1050,5500,15001,1000,1520,25,720,10,717,150,10003,20,0,0,0,0,0,0,0,0
2610,CURMUDGEON,Curmudgeon,Curmudgeon,79,33974,0,8918,5806,1,415,1288,20,0,1,62,14,0,146,0,10,12,1,1,49,145,200,2492,792,432,0,0,0,0,,,,,959,5500,932,1500,510,720,717,240,719,20,603,60,624,180,0,0,0,0,0,0
2611,WISP,Wisp,Wisp,77,5000,0,21198,9516,1,0,998,50,50,1,34,10,67,0,150,10,12,0,0,68,157,300,1888,1152,828,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613,TRILOMITE,Trilomite,Trilomite,61,7281,0,3855,1513,1,135,324,40,0,1,93,21,0,134,35,10,12,0,4,62,139,150,600,672,480,0,0,0,0,0,0,0,0,1052,3500,911,1000,928,500,7326,2500,943,1500,15000,310,756,50,0,0,0,0,0,0
2614,KRAKEN,Kraken,Kraken,94,47564,0,23568,3518,1,918,1865,20,45,1,113,45,142,140,80,10,12,1,9,61,133,150,1420,1080,528,0,0,0,0,,,,,15003,5500,15004,950,15002,1800,985,75,509,2200,602,700,912,2000,991,260,0,0,0,0
2615,GRUMBLER,Grumbler,Grumbler,87,39844,0,17561,3885,1,1071,1789,65,20,1,86,171,5,127,44,10,12,1,4,60,149,150,1150,500,1000,0,0,0,0,,,,,7010,5500,15005,3000,757,150,756,450,1002,950,999,480,998,700,0,0,0,0,0,0
2616,BULWARK,Bulwark,Bulwark,93,67200,0,32981,1614,2,1450,2530,80,30,1,45,185,135,135,5,10,12,2,0,80,137,450,1600,864,288,0,0,0,0,,,,,7004,2000,7054,5500,15006,3500,997,190,715,1100,757,131,985,130,0,0,0,0,0,0
2617,SHADOW,Shadow,Shadow,80,26602,0,23504,2651,1,660,700,40,60,1,112,0,152,172,210,10,12,1,0,87,413,700,800,456,748,0,0,0,0,,,,,12013,60,9510,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2618,IGNUS,Ignus,Ignus,108,85548,0,58165,4651,1,1351,4156,30,60,1,30,374,227,144,26,10,12,2,0,83,133,400,1564,864,576,0,0,0,0,,,,,7096,5000,15007,6000,2317,30,2316,60,504,7500,504,5000,504,3500,0,0,0,0,0,0
2619,MENACE,Menace,Menace,98,26158,0,48315,2654,1,377,1489,35,70,1,76,84,107,153,194,10,12,0,6,23,143,130,1010,864,576,0,0,0,0,,,,,1038,6800,1039,5700,1039,2000,2605,3,756,90,0,0,0,0,0,0,0,0,0,0
2620,QISLING,Qisling,Qisling,86,3000,3000,3519,676,1,199,315,0,0,1,98,14,0,108,150,10,12,0,2,43,185,132,1276,576,384,0,0,0,0,,,,,1011,60,0,0,0,0,15009,10,15008,10,15008,10,0,0,0,0,0,0,0,0
2621,FIREBAT,Firebat,Firebat,94,19654,0,31654,1932,1,384,737,25,55,1,92,9,68,121,12,10,12,0,2,63,157,165,840,864,576,0,0,0,0,,,,,15010,6500,15010,1100,7097,1600,7122,3500,7122,1600,756,1200,522,800,0,0,0,0,0,0
2622,GROUSER,Grouser,Grouser,103,24584,0,50858,2961,1,798,1764,30,85,1,96,180,34,148,79,10,12,0,4,43,133,142,1564,864,576,0,0,0,0,,,,,7125,5000,904,7500,716,990,525,2900,994,1450,994,850,756,140,0,0,0,0,0,0
2623,CORUSCATITE,Coruscatite,Coruscatite,101,60945,0,41156,2384,1,848,2097,30,30,1,97,134,77,126,0,10,12,2,4,63,141,300,1792,792,336,0,0,0,0,,,,,1042,5500,912,3200,757,190,15000,3500,15000,2500,511,2700,719,40,0,0,0,0,0,0
2624,PHAROS,Pharos,Pharos,96,18950,0,48987,3176,3,918,1386,0,75,1,44,5,135,84,25,10,12,1,0,83,149,160,1700,1000,500,0,0,0,0,,,,,730,150,1003,650,953,3000,994,900,757,130,716,1000,0,0,0,0,0,0,0,0
2625,PHLOGISTON,Phlogiston,Phlogiston,89,9518,0,40192,2716,2,14,958,90,80,1,93,0,182,185,260,10,12,0,0,83,409,300,1000,1152,828,0,0,0,0,,,,,15007,2100,912,4300,504,3200,2279,35,12008,1800,0,0,994,450,0,0,0,0,0,0
2626,BOMB,Bomb,Bomb,93,3902,0,35561,5561,2,0,0,95,95,0,0,0,0,0,0,10,12,0,6,43,133,180,1564,864,576,0,0,0,0,,,,,15007,5500,7098,3700,504,4000,504,3000,504,2000,505,2000,505,800,0,0,0,0,0,0
2627,WYVERN,Wyvern,Wyvern,110,39872,0,58574,3984,1,556,1094,20,50,1,101,98,131,160,134,10,12,1,9,83,149,175,1400,864,576,0,0,0,0,,,,,15011,4200,15002,5500,15003,4000,15004,3700,716,1000,994,400,0,0,0,0,0,0,0,0
2628,WHELP,Whelp,Whelp,105,35461,0,55654,3501,1,664,1494,35,30,1,96,110,103,160,109,10,12,1,9,63,149,175,1400,864,576,0,0,0,0,,,,,15011,4200,15002,5500,15003,4000,15004,3700,716,1000,994,200,0,0,0,0,0,0,0
2629,RABID,Rabid,Rabid,77,11891,0,9440,1348,1,30,418,0,75,1,99,34,0,169,67,10,12,0,2,29,159,110,544,456,336,0,0,0,0,,,,,2250,100,515,8000,727,1500,726,1000,756,350,757,100,534,2000,0,0,0,0,0,0
2630,DEFILER,Defiler,Defiler,83,20659,0,11545,3448,1,1,2471,40,65,1,73,37,15,138,0,10,12,1,1,45,133,300,2164,912,288,0,0,0,0,,,,,7226,150,724,1500,15012,5000,15013,2500,727,1100,0,0,0,0,0,0,0,0,0,0
2631,CADAVER,Cadaver,Cadaver,85,26784,0,13096,4048,1,486,1748,50,50,1,80,137,0,143,0,10,12,1,1,49,133,250,1478,912,504,0,0,0,0,,,,,15012,5500,15013,4000,505,3000,504,4500,506,2100,2609,450,934,4500,0,100,0,0,0
2632,CONTAGION,Contagion,Contagion,67,8478,0,4154,18089,1,400,400,90,90,1,149,1,122,579,270,10,12,1,0,85,1,230,1472,672,480,0,0,0,0,0,0,0,0,7119,4500,7154,3500,603,250,7220,1500,678,400,0,0,0,0,0,0,0,0,0,0
2633,CORPSEFLY,Corpsefly,Corpsefly,70,7889,0,7975,3634,1,301,363,0,0,1,86,30,0,143,42,10,12,0,4,20,137,200,1076,576,480,0,0,0,0,,,,,999,200,15000,2200,7126,2000,7126,3500,7126,1000,601,400,998,350,0,0,0,0,0,0
2634,GRAVEMAN,Graveman,Graveman,87,17849,0,13148,4872,1,45,814,40,50,1,87,91,0,156,97,10,12,1,1,49,149,175,1328,528,576,0,0,0,0,,,,,1010,90,932,800,1505,80,909,3000,507,850,2609,30,628,400,0,0,0,0,0,0
2635,JAGGLER,Jaggler,Jaggler,91,23487,0,17487,3487,1,421,1347,50,65,1,92,107,0,142,134,10,12,1,1,69,157,155,1070,576,432,0,0,0,0,,,,,932,5500,756,60,1214,12,501,700,934,10,1201,150,1216,50,0,0,0,0,0,0
2636,CORPSEFLY_,Corpsefly,Corpsefly,70,7889,0,7975,3634,1,301,363,0,0,1,86,30,0,143,42,10,12,0,4,20,137,200,1076,576,480,0,0,0,0,,,,,999,200,15000,2200,7126,2000,7126,3500,7126,1000,601,400,998,350,0,0,0,0,0,0
2637,CAVE_BOAR,Cave Boar,Cave Boar,78,48102,0,10789,3478,1,1420,2051,30,60,1,79,193,27,143,3,10,12,2,2,42,149,140,1960,960,384,0,0,0,0,,,,,1028,5500,656,150,702,320,2276,20,605,10,757,70,526,2,0,0,0,0,0,0
2638,Cave_PIG,Cave Pig,Cave Pig,67,9078,0,7487,965,1,32,167,5,60,1,91,63,12,120,80,10,12,0,2,22,129,150,700,624,576,0,0,0,0,,,,,919,5500,1302,100,517,500,12004,500,949,850,1010,50,627,300,0,0,0,0,0,0
2639,FUNGOID,Fungoid,Fungoid,77,37841,0,14789,3572,1,148,883,15,30,1,81,40,16,134,37,10,12,1,3,42,153,180,800,672,288,0,0,0,0,,,,,921,5000,507,800,510,50,743,20,2220,40,921,5,0,0,0,0,0,0,0,0
2640,ANKHEG,Ankheg,Ankheg,106,60540,0,78211,2142,1,792,2670,50,0,1,96,117,5,111,3,10,12,2,4,62,149,360,672,800,480,0,0,0,0,0,0,,,1014,5000,1013,500,7289,500,7316,2500,7326,2500,0,0,0,0,0,0,0,0,0,0
2641,MUDWIGHT,Mudwight,Mudwight,103,37422,0,57651,3407,1,140,2167,40,40,1,99,57,167,101,63,10,12,1,7,42,155,120,600,480,360,0,0,0,0,,,,,1044,5500,756,70,938,2500,1006,5,503,50,640,20,0,0,0,0,0,0,0,0
2642,Nuking,Nuking,Nuking,113,38455,0,97790,1042,1,1127,2431,0,0,1,97,73,73,167,57,10,12,0,0,20,157,200,780,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643,Cynic,Cynic,Cynic,94,41660,0,25320,3456,1,971,1610,40,70,1,89,72,105,105,42,10,12,1,7,87,149,200,1500,500,1000,0,0,0,0,,,,,1557,2,2608,30,505,1000,716,2000,1009,50,9514,130,0,0,0,0,0,0,0,0
2644,RIOT,Riot,Riot,106,59847,0,49654,3544,1,947,3110,70,15,68,117,98,0,127,12,10,12,2,1,29,149,350,473,1000,396,0,0,0,0,,,,,932,8000,985,191,5017,30,2108,15,1004,10,504,1000,1127,45,0,0,0,0,0,0
2999,hpdrone,Billion HP,Billion HP,2,1000000000,0,0,0,0,1,1,0,0,1,1,1,1,1,1,10,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// Minigame Monsters
2600,DF4F7E8G4A1654AFF4,Red,Red,1,100,0,0,0,1,10,20,0,0,1,1,1,0,9999,0,10,12,0,0,20,145,300,1000,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,F115P561D498ADK4PU,Green,Green,1,300,0,0,0,1,30,60,0,0,1,1,1,0,9999,0,10,12,0,0,20,145,300,1000,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2598,4K4A848P84FD4HD64D,Yellow,Yellow,1,200,0,0,0,1,20,40,0,0,1,1,1,0,9999,0,10,12,0,0,20,145,300,1000,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2597,89Q4AG61SK4P48D64A,Blue,Blue,1,500,0,0,0,1,50,90,0,0,1,1,1,0,9999,0,10,12,0,0,20,145,300,1000,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2596,7H98AS84U486A468WE,Jumbo,Jumbo,1,2000,0,0,0,1,100,200,0,0,1,1,1,0,9999,0,10,12,0,0,20,405,300,1000,672,480,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
