// Mordlin Tunnel script
//

//warps
turven04,351,341,0	warp	mordwarp01	1,1,mordlin03,104,99
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
//-- Mordlin Tunnel 2
mordlin02,0,0,0,0	monster	Roller Beetle	2606,20,73,78,0,0,0
mordlin02,0,0,0,0	monster	Feeder	2605,11,72,74,0,0,0
mordlin02,0,0,0,0	monster	Bulwark	2616,12,92,94,0,0,0
mordlin02,0,0,0,0	monster	Cave Boar	2637,10,76,79,0,0,0
mordlin02,0,0,0,0	monster	Drainliar	1111,15,21,26,0,0,0
mordlin02,0,0,0,0	monster	Fungoid	2639,17,75,78,0,0,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin02,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
//-- Mordlin Tunnel 1
mordlin01,0,0,0,0	monster	Fungoid	2639,55,75,77,0,0,0
mordlin01,0,0,0,0	monster	Feeder	2605,15,71,74,0,0,0
mordlin01,0,0,0,0	monster	Roller Beetle	2606,6,73,76,0,0,0
mordlin01,0,0,0,0	monster	Drainliar	1111,17,21,25,0,0,0
mordlin01,0,0,0,0	monster	Bulwark	2616,30,92,97,0,0,0
mordlin01,0,0,0,0	monster	Cave Boar	2637,5,76,79,0,0,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin01,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
