// Luen Burial Cave script
//

//warps
oldtun1,4,91,0	warp	luenwarp01	1,1,luenbur02,283,28
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0
luenbur01,0,0,0,0	monster	Rabid	2629,1,77,80,0,30000,0

//-- Luen Burial Cave Floor 2
luenbur02,0,0,0,0	monster	Defiler	2630,40,81,87,0,0,0
luenbur02,0,0,0,0	monster	Cadaver	2631,50,84,89,0,0,0
luenbur02,0,0,0,0	monster	Corpsefly	2633,55,68,74,0,0,0
luenbur02,0,0,0,0	monster	Graveman	2634,10,85,88,0,0,0
luenbur02,0,0,0,0	monster	Jaggler	2635,20,90,95,0,0,0
luenbur02,0,0,0,0	monster	Cynic	2643,15,92,96,0,0,0
luenbur02,231,60,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,230,55,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,235,48,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,244,51,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,239,60,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,235,59,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,230,48,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,240,48,0,0	monster	Curmudgeon	2610,1,79,83,0,0,0
luenbur02,0,0,0,0	monster	Atropos	2996,1,94,98,3000000,5400000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
luenbur02,0,0,0,0	monster	Rabid	2629,1,77,77,0,30000,0
